filename,transcription,spk_id,gender,ext,samplerate
train/0007c21c23.wav,139473,spk_E,female,wav,24000
train/000bee1b1d.wav,992597,spk_B,male,wav,24000
train/001a718902.wav,500869,spk_A,female,wav,22050
train/001e8e5565.wav,969908,spk_C,male,wav,22050
train/001ee5be6b.wav,80484,spk_E,female,wav,24000
train/002006039c.wav,806551,spk_E,female,wav,24000
train/0023aeb702.wav,834867,spk_E,female,wav,24000
train/0025aa83a3.wav,433454,spk_E,female,wav,24000
train/002ac85f40.wav,986140,spk_B,male,wav,24000
train/002d609255.wav,278484,spk_C,male,wav,22050
train/002df5e2df.wav,770256,spk_E,female,wav,24000
train/002e0e1c5b.wav,43140,spk_A,female,wav,22050
train/002e421d56.wav,953055,spk_B,male,wav,24000
train/002e772a96.wav,280036,spk_B,male,wav,24000
train/00325862e1.wav,705905,spk_B,male,wav,24000
train/00335d2d4b.wav,378376,spk_E,female,wav,24000
train/0036beadac.wav,41995,spk_E,female,wav,24000
train/0037bf6cbe.wav,694653,spk_D,female,wav,24000
train/00395b8639.wav,855706,spk_B,male,wav,24000
train/003d3e8f6c.wav,747433,spk_C,male,wav,22050
train/003ec0b8c4.wav,23883,spk_E,female,wav,24000
train/003f342d2f.wav,718934,spk_D,female,wav,24000
train/0044cb2b7f.wav,347412,spk_C,male,wav,22050
train/004bbbbd13.wav,195130,spk_E,female,wav,24000
train/004d3e1461.wav,889480,spk_A,female,wav,22050
train/00501bd4f3.wav,425351,spk_F,male,wav,24000
train/00551e9b74.wav,796053,spk_E,female,wav,24000
train/006714f752.wav,44337,spk_B,male,wav,24000
train/006ca72a45.wav,141287,spk_E,female,wav,24000
train/006d098f3f.wav,590858,spk_B,male,wav,24000
train/006d938ac1.wav,749375,spk_D,female,wav,24000
train/007ebda77f.wav,81552,spk_C,male,wav,22050
train/00805abf06.wav,216494,spk_E,female,wav,24000
train/008fd993e3.wav,510473,spk_B,male,wav,24000
train/009057513b.wav,377575,spk_B,male,wav,24000
train/0094a6c418.wav,902933,spk_A,female,wav,22050
